Year,Month,Day,Hour,Temp,Pressure,U10,V10,Ws,Wd,Rain
2018,1,1,0,  4.892,97931.131,  7.062,  1.830,  7.296,255.470,  0.000
2018,1,1,1,  4.012,97907.824,  6.755,  2.736,  7.288,247.946,  0.000
2018,1,1,2,  3.889,97839.629,  6.678,  2.510,  7.135,249.399,  0.000
2018,1,1,3,  3.738,97833.064,  6.206,  2.029,  6.529,251.893,  0.000
2018,1,1,4,  3.419,97833.551,  5.578,  1.582,  5.798,254.167,  0.000
2018,1,1,5,  2.774,97840.383,  4.427,  0.997,  4.538,257.302,  0.000
2018,1,1,6,  2.466,97823.006,  4.215,  0.705,  4.273,260.509,  0.000
2018,1,1,7,  3.477,97837.971,  5.376, -0.864,  5.445,279.125,  0.000
2018,1,1,8,  4.120,97949.461,  6.220, -1.543,  6.408,283.933,  0.000
2018,1,1,9,  3.878,98106.285,  5.291, -1.391,  5.471,284.724,  0.000
2018,1,1,10,  5.558,98273.033,  6.932, -2.780,  7.468,291.851,  0.000
2018,1,1,11,  6.857,98440.381,  7.340, -3.363,  8.074,294.612,  0.000
2018,1,1,12,  7.866,98597.910,  8.321, -5.128,  9.774,301.644,  0.000
2018,1,1,13,  8.090,98747.324,  8.509, -5.062,  9.901,300.749,  0.000
2018,1,1,14,  7.787,98811.038,  8.144, -5.282,  9.707,302.969,  0.000
2018,1,1,15,  6.897,98922.855,  6.839, -3.589,  7.723,297.690,  0.000
2018,1,1,16,  5.119,99015.601,  5.769, -1.723,  6.021,286.632,  0.000
2018,1,1,17,  4.518,99121.786,  6.491, -1.558,  6.675,283.500,  0.000
2018,1,1,18,  4.055,99227.600,  5.464, -1.293,  5.615,283.310,  0.000
2018,1,1,19,  2.644,99296.243,  4.017, -0.232,  4.024,273.307,  0.000
2018,1,1,20,  2.510,99294.624,  3.958,  0.101,  3.959,268.544,  0.000
2018,1,1,21,  3.240,99262.256,  3.294,  1.136,  3.485,250.971,  0.000
2018,1,1,22,  3.163,99239.780,  2.139,  1.700,  2.732,231.521,  0.000
2018,1,1,23,  3.295,99208.936,  1.442,  2.156,  2.594,213.782,  0.000
2018,1,2,0,  3.635,99189.588,  0.973,  2.501,  2.683,201.256,  0.000
2018,1,2,1,  5.465,99122.805,  0.627,  3.429,  3.486,190.354,  0.037
2018,1,2,2,  6.203,99012.900,  0.508,  3.667,  3.702,187.886,  0.097
2018,1,2,3,  7.102,98869.827,  1.821,  5.600,  5.888,198.015,  0.110
2018,1,2,4,  7.396,98752.021,  1.896,  5.028,  5.373,200.666,  0.311
2018,1,2,5,  8.201,98646.630,  3.011,  5.152,  5.968,210.303,  0.512
2018,1,2,6,  8.870,98557.579,  3.528,  5.134,  6.229,214.497,  0.642
2018,1,2,7,  9.401,98498.671,  4.727,  5.228,  7.048,222.121,  0.781
2018,1,2,8,  9.662,98471.302,  5.773,  4.777,  7.493,230.391,  0.787
2018,1,2,9,  9.537,98471.328,  6.597,  4.436,  7.949,236.080,  0.788
2018,1,2,10,  9.459,98444.071,  6.705,  4.567,  8.112,235.741,  0.788
2018,1,2,11,  9.395,98429.245,  6.895,  3.173,  7.590,245.288,  0.811
2018,1,2,12,  9.438,98395.040,  7.635,  4.988,  9.120,236.840,  1.322
2018,1,2,13,  9.455,98304.331,  7.332,  4.292,  8.496,239.653,  2.195
2018,1,2,14,  9.568,98177.042,  7.745,  4.054,  8.741,242.371,  3.314
2018,1,2,15,  9.817,98007.762,  9.155,  4.324, 10.124,244.720,  3.949
2018,1,2,16, 10.091,97842.753,  9.544,  2.545,  9.877,255.068,  4.933
2018,1,2,17, 10.222,97672.302, 10.814,  2.540, 11.108,256.780,  6.208
2018,1,2,18, 10.078,97506.572, 11.016,  1.789, 11.160,260.775,  6.577
2018,1,2,19,  9.254,97414.604, 11.697,  0.672, 11.717,266.713,  6.600
2018,1,2,20,  8.965,97418.444, 12.831,  0.545, 12.843,267.566,  6.632
2018,1,2,21,  8.107,97451.762, 11.263,  0.686, 11.284,266.512,  6.632
2018,1,2,22,  7.335,97512.385, 10.713,  0.597, 10.730,266.811,  6.632
2018,1,2,23,  6.811,97538.120, 10.937,  0.338, 10.942,268.228,  6.632
